id_A,iq_A,Ldd_mH_if2,Ldd_mH_if3,Ldd_mH_if4,Ldd_mH_if5
-30.0,-35.0,19.399923858922108,21.27262741258738,23.145255229608395,25.01776101513824
-25.0,-35.0,18.499945880478407,19.29636363636362,20.092742090447125,20.88910066653663
-20.0,-35.0,17.599969575306904,18.16727272727272,18.734551735884683,19.301817994549324
-15.0,-35.0,16.699966107419844,17.279860139860126,17.839561826537114,18.439575269492565
-10.0,-35.0,15.80002967586563,16.452867132867123,17.158618996260667,17.837912650092992
-5.0,-35.0,14.90001379337816,15.507532447552435,16.11006820363826,16.722630142429896
0.0,-35.0,14.000009847862808,14.022677342657335,14.045294946587015,14.067969294293052
5.0,-35.0,13.099967542816074,12.041818181818178,10.525480112109236,9.238204018725924
10.0,-35.0,12.200116416601578,8.66583412587412,5.131720994483764,1.5975882287719854
-30.0,-30.0,19.39995349497932,21.272547412587382,23.145251350894213,25.01776386151399
-25.0,-30.0,18.499919592218053,19.16545454545454,19.830913519976736,20.49636768133053
-20.0,-30.0,17.599987719363632,18.189090909090904,18.77818367100094,19.367273539898832
-15.0,-30.0,16.6999734981856,17.293286713286708,17.886573684929036,18.47985930338437
-10.0,-30.0,15.800032550453494,16.417622377622376,17.03524427119653,17.65286584135232
-5.0,-30.0,14.90000049793684,15.501678321678323,16.103356139238887,16.70503402336794
0.0,-30.0,14.00003296240518,14.022657342657336,14.045314993212322,14.06797123548388
5.0,-30.0,13.09999679236179,12.347272727272728,11.594546558390228,10.841818797802985
10.0,-30.0,12.199893929374964,8.665914125874119,5.131719377665795,1.5976670820878454
-30.0,-25.0,19.39998045298101,21.272547412587382,23.145167627408195,23.74504352095968
-25.0,-25.0,18.499938156521733,19.16545454545454,19.830913037729072,20.496368181630224
-20.0,-25.0,17.6002,18.2,18.8,19.399999999999995
-15.0,-25.0,16.699799999999996,17.300000000000004,17.900000000000006,18.500000000000007
-10.0,-25.0,15.8002,16.4,16.999999999999993,17.600000000000005
-5.0,-25.0,14.9,15.500000000000004,16.1,16.700000000000003
0.0,-25.0,14.000000000000002,14.000000000000002,14.000000000000002,13.99999999999999
5.0,-25.0,13.099964206395974,12.347272727272728,11.59454641370224,10.841818781414627
10.0,-25.0,12.199974322662309,8.665914125874115,5.131797679537837,4.531910267923311
-30.0,-20.0,19.400004784669868,21.27262741258739,23.145244059150365,25.017845414222137
-25.0,-20.0,18.49999434786031,19.16545454545454,19.830912583406057,20.496368420701828
-20.0,-20.0,17.5998,18.2,18.8,19.40000000000001
-15.0,-20.0,16.7,17.299999999999997,17.900000000000006,18.5
-10.0,-20.0,15.8002,16.400000000000006,17.000000000000004,17.599999999999994
-5.0,-20.0,14.899999999999997,15.499999999999996,16.1,16.700000000000003
0.0,-20.0,13.999800000000002,14.000000000000002,13.99999999999999,14.000000000000012
5.0,-20.0,13.09999633708057,12.347272727272728,11.594546257515873,10.841818652620104
10.0,-20.0,12.200117237671416,8.665834125874111,5.13171590009989,1.59758332747092
-30.0,-15.0,19.40002654178864,21.27254741258739,23.145160646120694,25.01776439916921
-25.0,-15.0,18.49999752677994,19.16545454545454,19.830912157007685,20.49636842950251
-20.0,-15.0,17.599999999999998,18.2,18.800000000000004,19.40000000000001
-15.0,-15.0,16.6998,17.3,17.89999999999999,18.5
-10.0,-15.0,15.8002,16.400000000000006,17.000000000000004,17.599999999999994
-5.0,-15.0,14.899999999999997,15.500000000000004,16.1,16.700000000000003
0.0,-15.0,14.000000000000002,14.000000000000002,13.99999999999999,14.000000000000012
5.0,-15.0,13.099996344171243,12.347272727272728,11.594546089831118,10.841818442376592
10.0,-15.0,12.199898582652123,8.66591412587412,7.087996026234634,4.531907332101866
-30.0,-10.0,19.39996577608004,21.27254741258739,23.1452373883192,25.01776237558804
-25.0,-10.0,18.50000024970655,19.16545454545454,19.83091175853396,20.496368238989472
-20.0,-10.0,17.6002,18.2,18.800000000000004,19.40000000000001
-15.0,-10.0,16.6998,17.300000000000004,17.89999999999999,18.499999999999982
-10.0,-10.0,15.8002,16.4,17.000000000000004,17.600000000000016
-5.0,-10.0,14.900000000000002,15.500000000000004,16.099999999999994,16.69999999999998
0.0,-10.0,13.999999999999996,14.000000000000002,14.000000000000012,14.000000000000012
5.0,-10.0,13.099996523080607,12.347272727272728,11.594545910647982,10.84181818164128
10.0,-10.0,12.199902552840037,8.665914125874117,5.131712097293986,1.5976585532380403
-30.0,-5.0,19.3999825392868,20.84823160839159,23.14515428574588,25.017759482785983
-25.0,-5.0,18.50003137662337,19.16545454545454,19.83091138798488,20.49636788011988
-20.0,-5.0,17.6,18.2,18.8,19.399999999999995
-15.0,-5.0,16.6998,17.3,17.89999999999999,18.500000000000007
-10.0,-5.0,15.8002,16.400000000000006,17.000000000000004,17.599999999999994
-5.0,-5.0,14.9,15.499999999999991,16.1,16.700000000000003
0.0,-5.0,13.999999999999996,14.000000000000002,13.99999999999999,13.99999999999999
5.0,-5.0,13.099965983881727,12.347272727272728,11.594545719966463,10.841817901371352
10.0,-5.0,12.200125212542394,9.644076083916085,5.131790073926054,1.5976561320339375
-30.0,0.0,19.40007688315162,21.27262741258739,23.14523133840073,23.74503724004692
-25.0,0.0,18.499999681084127,19.16545454545454,19.83091104536044,20.496367383850924
-20.0,0.0,17.6002,18.2,18.8,19.40020000000001
-15.0,0.0,16.699799999999996,17.3,17.900000000000006,18.499999999999982
-10.0,0.0,15.800200000000004,16.400000000000006,17.000000000000004,17.600000000000016
-5.0,0.0,14.899999999999997,15.500000000000004,16.1,16.700000000000003
0.0,0.0,14.000000000000009,13.99999999999999,13.99999999999999,13.99999999999999
5.0,0.0,13.099968490570296,11.812727272727264,11.594545517786562,10.841817632523997
10.0,0.0,12.20012962154366,8.665834125874111,5.131707969248122,1.5975738738478635
-30.0,5.0,19.40008885941725,20.8482316083916,23.14514854628376,25.017751646748504
-25.0,5.0,18.500006088804465,19.16545454545454,19.830910730660648,20.496366781139805
-20.0,5.0,17.6002,18.2,18.8,19.40000000000001
-15.0,5.0,16.6998,17.3,17.900000000000006,18.500000000000007
-10.0,5.0,15.800199999999997,16.400000000000006,17.000000000000004,17.599999999999994
-5.0,5.0,14.900000000000002,15.500000000000004,16.1,16.700000000000003
0.0,5.0,14.000000000000002,14.000000000000002,13.99999999999999,13.99999999999999
5.0,5.0,13.099998205704704,12.347272727272728,11.594545304108276,10.84181740605639
10.0,5.0,12.199922445088507,9.64407608391608,5.131785783260193,1.597651917987114
-30.0,10.0,19.40009851982641,21.2725474125874,23.145225909394952,25.017746982127747
-25.0,10.0,18.50001065152712,19.16545454545454,19.830910443885497,20.496366102943696
-20.0,10.0,17.6002,18.2,18.800000000000004,19.399999999999995
-15.0,10.0,16.6998,17.3,17.89999999999999,18.500000000000007
-10.0,10.0,15.8002,16.400000000000006,17.000000000000004,17.599999999999994
-5.0,10.0,14.899999999999997,15.500000000000004,16.1,16.700000000000003
0.0,10.0,14.000000000000002,13.99999999999999,13.99999999999999,13.99999999999999
5.0,10.0,13.099976340927055,12.347272727272728,11.59454507893161,10.841817252925727
10.0,10.0,12.200141272583515,8.66591412587411,5.131703515962279,1.5976504037590609
-30.0,15.0,19.40002591612181,21.2725474125874,23.14514342773432,25.017742005515423
-25.0,15.0,18.500053420994806,19.16545454545454,19.830910185035,20.496365380219785
-20.0,15.0,17.599999999999998,18.2,18.8,19.40000000000001
-15.0,15.0,16.6998,17.300000000000004,17.900000000000006,18.499999999999982
-10.0,15.0,15.800199999999997,16.39999999999999,16.999999999999993,17.600000000000016
-5.0,15.0,14.900000000000007,15.500000000000004,16.1,16.69999999999998
0.0,15.0,13.99999999999999,14.000000000000002,13.99999999999999,14.000000000000012
5.0,15.0,13.099981788080692,12.347272727272728,11.59454484225656,10.841817204089187
10.0,15.0,12.200022875418645,8.66591412587411,7.087987444902894,4.531899646980661
-30.0,20.0,19.4001111000462,21.2726274125874,23.145221101301857,25.01781685621888
-25.0,20.0,18.50000765532228,19.16545454545454,19.83090995410913,20.496364643925247
-20.0,20.0,17.599999999999998,18.2,18.8,19.399999999999995
-15.0,20.0,16.7,17.300000000000004,17.900000000000006,18.500000000000007
-10.0,20.0,15.8,16.39999999999999,17.000000000000004,17.599999999999994
-5.0,20.0,14.900000000000002,15.500000000000004,16.1,16.700000000000003
0.0,20.0,14.000000000000002,13.99999999999999,13.99999999999999,13.99999999999999
5.0,20.0,13.099988318874798,12.347272727272728,11.594544594083125,10.841817290503975
10.0,20.0,12.200035396461242,8.665834125874124,5.131698737436449,1.5975692574302869
-30.0,25.0,19.400114123342263,21.2725474125874,23.145138930097573,23.74502111569696
-25.0,25.0,18.500007508252484,19.16545454545454,19.83090975110792,20.49636392501727
-20.0,25.0,17.599999999999998,18.2,18.8,19.399999999999995
-15.0,25.0,16.7,17.300000000000004,17.900000000000006,18.500000000000007
-10.0,25.0,15.8,16.39999999999999,16.999999999999993,17.599999999999994
-5.0,25.0,14.899999999999997,15.500000000000004,16.1,16.700000000000003
0.0,25.0,14.000000000000002,13.99999999999999,14.000000000000012,14.000000000000012
5.0,25.0,13.1000035522338,11.81272727272726,11.594544334411305,10.841817543127224
10.0,25.0,12.199969523745816,8.665914125874115,5.131776226208525,4.531899935962826
-30.0,30.0,19.40003503775275,21.2725474125874,23.14521691412145,25.017726596802405
-25.0,30.0,18.500006997176737,19.16545454545454,19.83090957603136,20.49636325445306
-20.0,30.0,17.60002736026028,18.189090909090908,18.7781824450964,19.367272038475363
-15.0,30.0,16.699978278417223,17.293286713286708,17.886574186435443,18.47985979869931
-10.0,30.0,15.800019863535663,16.41762237762238,17.035245509483925,17.652867404690184
-5.0,30.0,14.900001719418922,15.501678321678323,16.10335712367738,16.7050357260131
0.0,30.0,14.000003893718931,14.022657342657329,14.045313823030716,14.067975345050192
5.0,30.0,13.100004838355318,12.347272727272728,11.594544063241104,10.84181799291617
10.0,30.0,12.20017687267673,8.665914125874114,5.13169363367063,1.5976515493202137
-30.0,35.0,19.40011389502039,21.2726274125874,23.145215053373505,25.017721765297143
-25.0,35.0,18.500007601170363,19.29636363636363,20.09272828663826,20.889087989569315
-20.0,35.0,17.600022180202394,18.16727272727272,18.70180116782821,19.301815556670988
-15.0,35.0,16.69997325388602,17.279860139860133,17.839604459445688,18.40938973029815
-10.0,35.0,15.800016443990785,16.452867132867127,17.105736998179683,17.758603388848293
-5.0,35.0,14.900004914857472,15.507532447552432,16.11007164917296,16.715108871315238
0.0,35.0,14.000014440361216,14.022677342657328,14.045313581375131,14.06797831444285
5.0,35.0,13.10001493052718,11.81272727272726,10.52542701257633,9.238164018725916
10.0,35.0,12.200188536007817,8.665834125874111,5.131770959822734,1.597654332865519
